problem,solution
Simplify the following ratio: 949/247,73/19
Multiply: 50 x 61,3050
"Find the median: 30, 15, 76, 94, 74, 78, 4, 1, 49, 25, 15, 91, 16",30
Simplify the following ratio: 1825/125,73/5
"The dimensions of an aquarium measure to 31 in. long, 32 in. wide, and 24 in. deep. What is the volume of the prism in cubic inches?",23808
"The dimensions of an amazon package measure to 24 in. long, 31 in. wide, and 16 in. deep. What is the volume of the prism in cubic inches?",11904
"Find the median: 31, 38, 24, 55, 5, 10, 47, 76, 61, 46, 56",46
Solve for x: 462 = -21x + 63,-19
"Find the median: 97, 65, 40, 59, 84, 80, 5, 85, 31, 70, 82",70
"The dimensions of an aquarium measure to 14 in. long, 31 in. wide, and 20 in. deep. What is the volume of the prism in cubic inches?",8680
Multiply: 11 x 15,165
Multiply: 439 x 835,366565
"The dimensions of a microwave measure to 32 in. long, 40 in. wide, and 7 in. deep. What is the volume of the prism in cubic inches?",8960
"The dimensions of a minifridge measure to 19 in. long, 38 in. wide, and 14 in. deep. What is the volume of the prism in cubic inches?",10108
"Find the average (to one decimal place): 79, 74, 57, 85, 83, 80, 34, 76, 11, 62",64.1
"Find the average (to one decimal place): 96, 61, 65, 21, 9, 51",50.5
"Find the average (to one decimal place): 92, 100, 1, 92, 2, 8, 60, 53",51.0
"Find the average (to one decimal place): 58, 60, 3, 51, 92, 1, 73, 56, 89, 90",57.3
"Find the median: 8, 73, 8",8
Simplify the following ratio: 657/387,73/43
Multiply: 939 x 284,266676
Multiply: 41 x 99,4059
Solve for x: 186 = -6x,-31
"Find the median: 41, 72, 79, 57, 16, 2, 22, 66, 33, 85, 47",47
"Find the median: 42, 51, 97, 2, 74, 80, 80, 15, 13, 23, 83, 31, 59, 43, 62, 29, 51",51
Solve for x: 46 = 1x + 29,17
Multiply: 436 x 492,214512
Multiply: 636 x 167,106212
Simplify the following ratio: 26/767,2/59
Multiply: 46 x 75,3450
Simplify the following ratio: 1159/95,61/5
Solve for x: 95 = 19x + 57,2
"Find the median: 92, 53, 83, 78, 43, 34, 6, 6, 33, 23, 26",34
"Find the median: 67, 80, 50, 63, 52, 20, 96, 66, 57, 15, 23, 52, 4, 43, 56, 40, 68",52
Simplify the following ratio: 116/244,29/61
Multiply: 10 x 14,140
"The dimensions of a computer case measure to 29 in. long, 33 in. wide, and 13 in. deep. What is the volume of the prism in cubic inches?",12441
Multiply: 74 x 64,4736
Simplify the following ratio: 260/140,13/7
Multiply: 53 x 22,1166
"Find the average (to one decimal place): 86, 45, 77, 35, 56, 81, 60, 39, 7",54.0
"Find the average (to one decimal place): 73, 32, 100, 29, 25, 15, 10, 56, 16, 65",42.1
"The dimensions of an amazon package measure to 21 in. long, 36 in. wide, and 10 in. deep. What is the volume of the prism in cubic inches?",7560
Multiply: 57 x 41,2337
"Find the median: 6, 14, 27, 39, 38, 15, 73",27
"Find the median: 11, 71, 42, 44, 54, 65, 53, 25, 14, 95, 89, 10, 37, 41, 12, 77, 55",44
Simplify the following ratio: 366/102,61/17
Multiply: 76 x 69,5244
Solve for x: 41 = 1x + 29,12
Solve for x: 407 = -19x + 8,-21
"Find the median: 24, 47, 24",24
Solve for x: 283 = 21x + 52,11
"The dimensions of a computer case measure to 21 in. long, 25 in. wide, and 10 in. deep. What is the volume of the prism in cubic inches?",5250
Simplify the following ratio: 6/146,3/73
Simplify the following ratio: 15/21,5/7
Simplify the following ratio: 1534/754,59/29
Multiply: 317 x 939,297663
Simplify the following ratio: 138/282,23/47
Simplify the following ratio: 1230/1410,41/47
"Find the average (to one decimal place): 23, 10, 20, 65, 89, 58, 43, 59, 81, 10",45.8
Multiply: 95 x 48,4560
Multiply: 50 x 16,800
Multiply: 311 x 932,289852
Simplify the following ratio: 923/949,71/73
Simplify the following ratio: 658/742,47/53
"Find the average (to one decimal place): 60, 3, 21, 88, 33, 65",45.0
Multiply: 293 x 874,256082
"Find the average (to one decimal place): 80, 6, 4, 93, 38, 88, 51, 78, 65, 85, 75, 9",56.0
Multiply: 66 x 67,4422
Multiply: 90 x 28,2520
Solve for x: -332 = 29x - 13,-11
"Find the median: 7, 41, 30, 90, 90, 70, 60, 73, 34, 47, 44, 71, 14",47
Simplify the following ratio: 52/172,13/43
"Find the median: 42, 17, 39, 89, 100, 41, 9, 100, 4, 6, 68, 62, 97, 5, 69, 29, 55",42
Multiply: 46 x 40,1840
Multiply: 916 x 405,370980
"Find the average (to one decimal place): 49, 85, 49, 49, 34, 79, 62, 37, 87",59.0
"Find the average (to one decimal place): 31, 92, 59, 33, 67, 18",50.0
Multiply: 29 x 58,1682
Multiply: 654 x 182,119028
"The dimensions of a kitchen sink measure to 16 in. long, 35 in. wide, and 14 in. deep. What is the volume of the prism in cubic inches?",7840
"Find the average (to one decimal place): 29, 14, 41, 29, 38, 50",33.5
Multiply: 261 x 231,60291
"Find the average (to one decimal place): 11, 7, 64, 52, 44, 100, 95, 23, 2, 54",45.2
"Find the average (to one decimal place): 29, 73, 42, 44, 5, 79, 29",43.0
"Find the median: 2, 84, 6",6
"The dimensions of a game console measure to 26 in. long, 42 in. wide, and 7 in. deep. What is the volume of the prism in cubic inches?",7644
"Find the average (to one decimal place): 72, 100, 1, 24, 10, 46, 5, 54, 3, 50",36.5
Multiply: 71 x 30,2130
Multiply: 156 x 428,66768
"Find the average (to one decimal place): 17, 27, 65, 48, 2, 41, 2, 91, 61, 10, 36, 32",36.0
Multiply: 32 x 24,768
Simplify the following ratio: 20/236,5/59
"The dimensions of an aquarium measure to 30 in. long, 24 in. wide, and 19 in. deep. What is the volume of the prism in cubic inches?",13680
Simplify the following ratio: 976/592,61/37
"Find the median: 3, 78, 39",39
Simplify the following ratio: 408/264,17/11
"Find the average (to one decimal place): 47, 84, 18, 55, 22, 61, 23, 40, 34, 52",43.6
"The dimensions of an amazon package measure to 15 in. long, 48 in. wide, and 8 in. deep. What is the volume of the prism in cubic inches?",5760
"The dimensions of a game console measure to 18 in. long, 34 in. wide, and 7 in. deep. What is the volume of the prism in cubic inches?",4284
Simplify the following ratio: 444/24,37/2
"Find the median: 42, 72, 74, 47, 95",72
Simplify the following ratio: 826/518,59/37
"Find the average (to one decimal place): 98, 87, 47, 9, 62, 10, 5, 31, 13, 84",44.6
Solve for x: 644 = -20x + 4,-32
Simplify the following ratio: 231/2211,7/67
Multiply: 865 x 818,707570
Multiply: 72 x 45,3240
Solve for x: 488 = 29x - 34,18
"Find the median: 64, 78, 74, 19, 38, 79, 96",74
Simplify the following ratio: 536/136,67/17
Simplify the following ratio: 21/77,3/11
"Find the average (to one decimal place): 51, 2, 97, 35, 61, 86, 18, 39, 12, 86",48.7
Simplify the following ratio: 35/15,7/3
Simplify the following ratio: 1290/930,43/31
"The dimensions of a kitchen sink measure to 26 in. long, 48 in. wide, and 13 in. deep. What is the volume of the prism in cubic inches?",16224
"Find the median: 98, 16, 48",48
"The dimensions of an amazon package measure to 14 in. long, 34 in. wide, and 16 in. deep. What is the volume of the prism in cubic inches?",7616
Multiply: 91 x 40,3640
Simplify the following ratio: 949/533,73/41
Multiply: 20 x 76,1520
Solve for x: 585 = -20x - 15,-30
"Find the average (to one decimal place): 100, 13, 89, 23, 59, 17, 84, 31, 96, 65",57.7
Multiply: 745 x 407,303215
Multiply: 45 x 76,3420
"The dimensions of a minifridge measure to 18 in. long, 36 in. wide, and 24 in. deep. What is the volume of the prism in cubic inches?",15552
"Find the average (to one decimal place): 8, 79, 50, 43, 90, 36, 35, 27",46.0
Simplify the following ratio: 1431/621,53/23
"Find the median: 35, 39, 94, 95, 92, 64, 26, 40, 97, 54, 92, 17, 68, 60, 33, 77, 87",64
"Find the average (to one decimal place): 91, 91, 6, 63, 12, 22",47.5
"Find the median: 52, 26, 64, 75, 54",54
Multiply: 41 x 91,3731
"The dimensions of an aquarium measure to 14 in. long, 47 in. wide, and 17 in. deep. What is the volume of the prism in cubic inches?",11186
"The dimensions of a microwave measure to 31 in. long, 39 in. wide, and 7 in. deep. What is the volume of the prism in cubic inches?",8463
Simplify the following ratio: 1376/992,43/31
"The dimensions of an amazon package measure to 31 in. long, 29 in. wide, and 23 in. deep. What is the volume of the prism in cubic inches?",20677
Solve for x: -607 = 22x - 57,-25
"The dimensions of a microwave measure to 14 in. long, 47 in. wide, and 10 in. deep. What is the volume of the prism in cubic inches?",6580
Solve for x: -188 = 9x + 46,-26
"Find the median: 6, 69, 74",69
"Find the median: 24, 34, 22, 69, 97",34
"Find the average (to one decimal place): 100, 73, 39, 78, 8, 63, 76, 55",61.5
Solve for x: 33 = -1x + 51,18
"The dimensions of a microwave measure to 23 in. long, 34 in. wide, and 7 in. deep. What is the volume of the prism in cubic inches?",5474
"Find the average (to one decimal place): 16, 20, 90, 49, 58, 81, 18, 63, 93, 61, 1, 20",47.5
"The dimensions of a minifridge measure to 21 in. long, 45 in. wide, and 11 in. deep. What is the volume of the prism in cubic inches?",10395
"The dimensions of a game console measure to 13 in. long, 34 in. wide, and 18 in. deep. What is the volume of the prism in cubic inches?",7956
Multiply: 416 x 318,132288
"Find the median: 85, 66, 73, 60, 46, 88, 20, 18, 37, 6, 69, 55, 26",55
Multiply: 68 x 48,3264
"Find the average (to one decimal place): 56, 98, 87, 80, 25, 34, 62, 57, 53, 51",60.3
"The dimensions of a game console measure to 15 in. long, 45 in. wide, and 22 in. deep. What is the volume of the prism in cubic inches?",14850
"Find the median: 14, 41, 80, 51, 27",41
Solve for x: 167 = 6x + 5,27
Multiply: 93 x 86,7998
"Find the median: 42, 62, 63, 61, 11, 44, 48",48
Multiply: 422 x 709,299198
Solve for x: 425 = 26x + 61,14
"The dimensions of a minifridge measure to 18 in. long, 27 in. wide, and 19 in. deep. What is the volume of the prism in cubic inches?",9234
Simplify the following ratio: 888/264,37/11
"Find the average (to one decimal place): 33, 38, 1, 51, 2, 92, 54, 13",35.5
"Find the median: 68, 99, 66",68
Multiply: 75 x 60,4500
Solve for x: 719 = 27x - 64,29
Simplify the following ratio: 352/544,11/17
Multiply: 86 x 46,3956
Solve for x: -32 = 13x - 19,-1
Simplify the following ratio: 725/325,29/13
"The dimensions of a microwave measure to 12 in. long, 34 in. wide, and 13 in. deep. What is the volume of the prism in cubic inches?",5304
Multiply: 23 x 45,1035
Multiply: 16 x 61,976
"The dimensions of a microwave measure to 14 in. long, 39 in. wide, and 11 in. deep. What is the volume of the prism in cubic inches?",6006
"The dimensions of a game console measure to 30 in. long, 41 in. wide, and 6 in. deep. What is the volume of the prism in cubic inches?",7380
Multiply: 34 x 88,2992
Multiply: 37 x 32,1184
"Find the median: 36, 72, 66, 11, 67, 34, 80, 17, 58, 17, 36, 60, 84, 48, 47, 12, 98",48
"Find the median: 87, 5, 93",87
Multiply: 569 x 753,428457
Multiply: 88 x 58,5104
"Find the average (to one decimal place): 61, 37, 24, 53, 46, 89, 82, 92, 81, 57",62.2
"Find the average (to one decimal place): 23, 100, 3, 28, 79, 16, 32, 6, 65, 43",39.5
Multiply: 381 x 972,370332
Multiply: 86 x 66,5676
Multiply: 338 x 551,186238
Solve for x: 27 = 3x + 18,3
"Find the average (to one decimal place): 64, 54, 91, 4, 83, 79, 17",56.0
Simplify the following ratio: 295/355,59/71
"The dimensions of a computer case measure to 26 in. long, 40 in. wide, and 14 in. deep. What is the volume of the prism in cubic inches?",14560
Solve for x: -42 = 1x - 44,2
"Find the median: 74, 57, 99, 13, 89, 26, 69, 81, 5, 52, 52, 6, 87, 26, 66, 77, 19",57
"Find the average (to one decimal place): 21, 15, 66, 71, 63, 55, 87, 22, 62, 18",48.0
"Find the average (to one decimal place): 85, 46, 38, 19, 63, 68, 77, 67, 18, 57, 34",52.0
Multiply: 52 x 36,1872
"The dimensions of a microwave measure to 16 in. long, 42 in. wide, and 6 in. deep. What is the volume of the prism in cubic inches?",4032
Solve for x: -132 = 9x - 42,-10
Multiply: 328 x 428,140384
"The dimensions of an aquarium measure to 19 in. long, 24 in. wide, and 19 in. deep. What is the volume of the prism in cubic inches?",8664
"The dimensions of a minifridge measure to 13 in. long, 47 in. wide, and 14 in. deep. What is the volume of the prism in cubic inches?",8554
Multiply: 736 x 741,545376
"Find the median: 47, 12, 56, 31, 90, 1, 28, 15, 95, 68, 79",47
Solve for x: -97 = -17x - 12,5
Multiply: 85 x 52,4420
Solve for x: 384 = -15x + 39,-23
Simplify the following ratio: 121/803,11/73
Multiply: 43 x 11,473
Multiply: 48 x 53,2544
"Find the average (to one decimal place): 8, 65, 35, 84, 83, 83, 84, 6, 5, 17",47.0
Multiply: 903 x 139,125517
Multiply: 78 x 97,7566
Simplify the following ratio: 781/473,71/43
Simplify the following ratio: 42/426,7/71
Multiply: 509 x 308,156772
Simplify the following ratio: 1457/713,47/23
"The dimensions of an aquarium measure to 29 in. long, 39 in. wide, and 8 in. deep. What is the volume of the prism in cubic inches?",9048
Solve for x: -253 = 8x - 13,-30
"Find the median: 40, 17, 67, 46, 16, 18, 63, 30, 80, 83, 66",46
"The dimensions of an amazon package measure to 32 in. long, 25 in. wide, and 7 in. deep. What is the volume of the prism in cubic inches?",5600
"The dimensions of a microwave measure to 15 in. long, 33 in. wide, and 22 in. deep. What is the volume of the prism in cubic inches?",10890
Multiply: 982 x 495,486090
Solve for x: -340 = -31x + 1,11
Solve for x: -222 = -12x + 42,22
Solve for x: -289 = -10x - 49,24
Solve for x: 287 = -21x - 49,-16
"Find the average (to one decimal place): 81, 53, 86, 32, 3, 59, 60, 86",57.5
"Find the median: 54, 43, 61, 71, 93, 22, 36, 58, 65, 94, 41, 52, 10",54
"Find the median: 7, 52, 87, 51, 12",51
Multiply: 52 x 12,624
Multiply: 463 x 219,101397
"Find the median: 15, 70, 72",70
Simplify the following ratio: 106/26,53/13
"The dimensions of a computer case measure to 19 in. long, 26 in. wide, and 18 in. deep. What is the volume of the prism in cubic inches?",8892
Simplify the following ratio: 1005/285,67/19
Multiply: 756 x 644,486864
Multiply: 943 x 957,902451
Solve for x: 50 = -8x + 34,-2
Multiply: 51 x 40,2040
Multiply: 702 x 443,310986
Simplify the following ratio: 713/1357,31/59
"Find the average (to one decimal place): 18, 6, 55, 16, 29, 23, 35, 17, 48, 23",27.0
"Find the median: 26, 68, 73, 26, 47, 39, 52, 13, 64, 24, 27",39
"The dimensions of a minifridge measure to 32 in. long, 38 in. wide, and 11 in. deep. What is the volume of the prism in cubic inches?",13376
Multiply: 38 x 63,2394
"The dimensions of a minifridge measure to 26 in. long, 38 in. wide, and 14 in. deep. What is the volume of the prism in cubic inches?",13832
Multiply: 774 x 629,486846
"Find the median: 74, 57, 93, 39, 14, 77, 85, 79, 85, 37, 20, 19, 43",57
Multiply: 955 x 660,630300
Simplify the following ratio: 615/555,41/37
Simplify the following ratio: 234/954,13/53
Multiply: 47 x 73,3431
"The dimensions of an amazon package measure to 21 in. long, 36 in. wide, and 17 in. deep. What is the volume of the prism in cubic inches?",12852
"The dimensions of a microwave measure to 19 in. long, 45 in. wide, and 7 in. deep. What is the volume of the prism in cubic inches?",5985
Multiply: 922 x 593,546746
"The dimensions of a minifridge measure to 29 in. long, 30 in. wide, and 14 in. deep. What is the volume of the prism in cubic inches?",12180
"The dimensions of a minifridge measure to 12 in. long, 39 in. wide, and 6 in. deep. What is the volume of the prism in cubic inches?",2808
Multiply: 27 x 24,648
Multiply: 671 x 817,548207
"Find the median: 18, 37, 100, 75, 70",70
Simplify the following ratio: 806/494,31/19
"Find the average (to one decimal place): 87, 14, 57, 1, 29, 6, 20, 90",38.0
Multiply: 356 x 109,38804
Multiply: 67 x 98,6566
Multiply: 20 x 88,1760
"The dimensions of a microwave measure to 12 in. long, 26 in. wide, and 18 in. deep. What is the volume of the prism in cubic inches?",5616
Simplify the following ratio: 170/1258,5/37
Multiply: 24 x 36,864
"Find the average (to one decimal place): 49, 97, 49, 91, 71, 77, 17, 33, 77, 44",60.5
Simplify the following ratio: 55/341,5/31
"Find the average (to one decimal place): 21, 20, 49, 13, 45, 70, 77, 57, 74, 9",43.5
Multiply: 961 x 237,227757
Solve for x: -137 = 5x - 62,-15
Multiply: 909 x 498,452682
Solve for x: -256 = 20x - 36,-11
Multiply: 12 x 43,516
"The dimensions of an aquarium measure to 20 in. long, 32 in. wide, and 17 in. deep. What is the volume of the prism in cubic inches?",10880
Simplify the following ratio: 55/341,5/31
"The dimensions of a minifridge measure to 18 in. long, 43 in. wide, and 11 in. deep. What is the volume of the prism in cubic inches?",8514
Multiply: 94 x 84,7896
"The dimensions of a minifridge measure to 26 in. long, 37 in. wide, and 19 in. deep. What is the volume of the prism in cubic inches?",18278
"The dimensions of a kitchen sink measure to 13 in. long, 32 in. wide, and 23 in. deep. What is the volume of the prism in cubic inches?",9568
Solve for x: -1 = -23x - 47,-2
"The dimensions of a kitchen sink measure to 30 in. long, 40 in. wide, and 9 in. deep. What is the volume of the prism in cubic inches?",10800
Multiply: 38 x 37,1406
"The dimensions of a computer case measure to 26 in. long, 39 in. wide, and 19 in. deep. What is the volume of the prism in cubic inches?",19266
"The dimensions of a minifridge measure to 14 in. long, 24 in. wide, and 11 in. deep. What is the volume of the prism in cubic inches?",3696
Multiply: 554 x 338,187252
"The dimensions of an aquarium measure to 25 in. long, 27 in. wide, and 7 in. deep. What is the volume of the prism in cubic inches?",4725
Simplify the following ratio: 87/2059,3/71
Multiply: 908 x 454,412232
"Find the median: 54, 95, 58, 4, 28, 69, 85, 74, 48, 56, 90, 40, 24",56
"Find the median: 91, 19, 75, 82, 51, 11, 25, 44, 42, 44, 2, 85, 54",44
"The dimensions of a computer case measure to 12 in. long, 29 in. wide, and 17 in. deep. What is the volume of the prism in cubic inches?",5916
"The dimensions of an aquarium measure to 14 in. long, 34 in. wide, and 19 in. deep. What is the volume of the prism in cubic inches?",9044
"Find the average (to one decimal place): 53, 66, 78, 65, 40, 11, 97, 94, 61, 55, 5, 29",54.5
"The dimensions of an amazon package measure to 31 in. long, 38 in. wide, and 11 in. deep. What is the volume of the prism in cubic inches?",12958
"The dimensions of a kitchen sink measure to 19 in. long, 48 in. wide, and 12 in. deep. What is the volume of the prism in cubic inches?",10944
Solve for x: -33 = -6x + 27,10
"Find the median: 88, 1, 51, 13, 60, 43, 24, 40, 88, 39, 68, 28, 32",40
Solve for x: 249 = 22x + 7,11
Multiply: 13 x 37,481
"Find the median: 5, 53, 97, 14, 81, 87, 95, 95, 100, 52, 31",81
"Find the average (to one decimal place): 36, 36, 35, 85, 76, 46, 47, 18, 27, 61",46.7
Multiply: 802 x 193,154786
Multiply: 63 x 32,2016
Multiply: 421 x 744,313224
Multiply: 15 x 52,780
"Find the median: 78, 69, 35, 90, 58, 80, 40, 57, 51, 5, 57",57
Solve for x: 193 = 17x - 45,14
"The dimensions of a game console measure to 29 in. long, 31 in. wide, and 12 in. deep. What is the volume of the prism in cubic inches?",10788
Solve for x: -97 = 12x - 1,-8
"Find the average (to one decimal place): 10, 69, 30, 15, 15, 95",39.0
Multiply: 30 x 90,2700
"The dimensions of a game console measure to 24 in. long, 34 in. wide, and 15 in. deep. What is the volume of the prism in cubic inches?",12240
Simplify the following ratio: 602/742,43/53
Multiply: 23 x 12,276
"Find the median: 68, 16, 64, 12, 50, 60, 68, 76, 70, 99, 45",64
Solve for x: -716 = 30x + 34,-25
"Find the average (to one decimal place): 34, 18, 82, 68, 82, 4",48.0
"Find the average (to one decimal place): 94, 97, 7, 56, 68, 71, 12, 46, 81, 36",56.8
Solve for x: -74 = -16x - 10,4
"Find the median: 55, 11, 84, 39, 26",39
Multiply: 865 x 979,846835
Simplify the following ratio: 22/74,11/37
"Find the average (to one decimal place): 44, 53, 35, 95, 58, 15, 17, 28, 25, 100",47.0
"Find the median: 10, 92, 41, 70, 98, 9, 54, 64, 44, 11, 15, 9, 37, 85, 100, 70, 45",45
Multiply: 277 x 246,68142
"The dimensions of a minifridge measure to 30 in. long, 36 in. wide, and 12 in. deep. What is the volume of the prism in cubic inches?",12960
"The dimensions of a computer case measure to 16 in. long, 30 in. wide, and 7 in. deep. What is the volume of the prism in cubic inches?",3360
"Find the median: 20, 70, 12, 89, 48, 95, 21, 28, 64, 83, 26",48
Solve for x: -13 = 1x + 3,-16
Multiply: 78 x 18,1404
"Find the average (to one decimal place): 44, 63, 63, 5, 22, 88, 90, 47, 42, 42",50.6
"The dimensions of a game console measure to 18 in. long, 39 in. wide, and 9 in. deep. What is the volume of the prism in cubic inches?",6318
Simplify the following ratio: 72/120,3/5
"Find the average (to one decimal place): 94, 55, 94, 4, 95, 83, 83, 39, 8, 56",61.1
"Find the median: 43, 18, 55, 25, 8",25
Simplify the following ratio: 817/1121,43/59
Solve for x: -183 = 20x - 23,-8
Solve for x: 256 = -8x + 56,-25
"The dimensions of a computer case measure to 22 in. long, 38 in. wide, and 22 in. deep. What is the volume of the prism in cubic inches?",18392
"Find the average (to one decimal place): 76, 85, 95, 58, 17, 84, 26, 69, 53, 85",64.8
Solve for x: 798 = 26x - 8,31
"Find the median: 5, 13, 74, 44, 36, 72, 9, 87, 71, 46, 80, 9, 58",46
Multiply: 38 x 56,2128
Multiply: 442 x 126,55692
"The dimensions of a game console measure to 17 in. long, 37 in. wide, and 18 in. deep. What is the volume of the prism in cubic inches?",11322
"Find the average (to one decimal place): 6, 42, 13, 49, 79, 97, 12, 6",38.0
Multiply: 95 x 94,8930
"The dimensions of a computer case measure to 14 in. long, 48 in. wide, and 12 in. deep. What is the volume of the prism in cubic inches?",8064
"Find the average (to one decimal place): 99, 33, 78, 59, 65, 13, 64, 42, 9, 96",55.8
Multiply: 254 x 371,94234
Solve for x: -28 = -8x + 44,9
Solve for x: -150 = 31x + 5,-5
Multiply: 48 x 69,3312
"Find the median: 21, 64, 19",21
Multiply: 16 x 62,992
"The dimensions of a minifridge measure to 31 in. long, 30 in. wide, and 11 in. deep. What is the volume of the prism in cubic inches?",10230
Multiply: 439 x 679,298081
Multiply: 987 x 335,330645
Multiply: 508 x 391,198628
"Find the average (to one decimal place): 61, 17, 82, 64, 46, 18",48.0
"Find the median: 83, 22, 19, 59, 57, 11, 17, 53, 67, 61, 23, 57, 51, 4, 53, 96, 48",53
Solve for x: -90 = 8x - 42,-6
Simplify the following ratio: 205/145,41/29
Solve for x: 114 = 6x - 36,25
Multiply: 447 x 721,322287
Solve for x: 20 = 4x - 48,17
Multiply: 10 x 73,730
Multiply: 357 x 256,91392
Simplify the following ratio: 868/812,31/29
